Lens Name,Type,σ,x,y,e,$θ_{e}$,$r_{core}$,NaN,mag,pos_err,x_diff,y_diff,mag_diff,pos_sq,pos_anomaly,mag_anomaly,index,pos_anom,mag_anom
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sie,Input,158.0,20.8,20.75,0.12,-4.0,0.0,0.0,,,,,,,,,,,
sie,Output,158.04,20.80964,20.75886,0.1289154,-4.431012,0.0,0.0,,,,,,,,,,,
sie,Flag,1,1,1,1,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,20.7645,20.3032,,,,,-6.6948,1.051,0.013229999999996522,0.0006599999999998829,2.4248,0.01324645,Anomaly,Anomaly,1,0.011966,1.6952
,,,21.2761,20.9608,,,,,13.6373,0.0,0.0030199999999993565,0.004680000000000462,6.8373,0.00556981,Anomaly,Anomaly,2,0.00472,0.1027
,,,20.3933,21.0459,,,,,15.4906,0.056,0.002389999999998338,0.00467000000000084,9.5106,0.00524605,Anomaly,Anomaly,3,0.004416,3.3606
,,,20.8199,21.2593,,,,,-19.6275,0.169,9.000000000014552e-05,9.999999999621423e-06,4.3275,9.055e-05,Normal,Anomaly,4,0.000299,10.8125
,,,,,,,,,,,,,,,,,,,
sie,Input,157.0,20.8,20.75,0.12,-4.0,0.0,0.0,,,,,,,,,,,
sie,Output,157.9661,20.80973,20.75958,0.1275745,-4.421324,0.0,0.0,,,,,,,,,,,
sie,Flag,1,1,1,1,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,20.7646,20.3039,,,,,-6.7866,1.035,0.013129999999996755,0.0013599999999982515,2.5166,0.01320025,Anomaly,Anomaly,1,0.01192,1.6034
,,,21.2759,20.9603,,,,,13.7607,0.0,0.0028199999999998226,0.004180000000001627,6.9607,0.0050423,Anomaly,Anomaly,2,0.004192,0.0207
,,,20.3933,21.0453,,,,,15.6308,0.055,0.002389999999998338,0.005269999999999442,9.6508,0.00578662,Anomaly,Anomaly,3,0.004957,3.5008
,,,20.8198,21.2594,,,,,-19.7995,0.167,9.999999999621423e-06,9.000000000014552e-05,4.4995,9.055e-05,Normal,Anomaly,4,0.000299,10.6405
,,,,,,,,,,,,,,,,,,,
